051113,133.65,151.00,133.65,150.15,52293,1364,7756063.00,17.349999999999994,16.5,142.11249999999998
031113,139.00,143.50,139.00,141.00,6146,190,872224.00,4.5,2.0,140.625
011113,140.70,141.00,135.85,138.70,16635,549,2298390.00,5.150000000000006,-2.0,139.0625
251013,150.75,154.40,149.10,151.60,18735,731,2853058.00,5.300000000000011,0.8499999999999943,151.4625
241013,150.15,157.25,150.15,151.10,30212,1005,4638788.00,7.099999999999994,0.9499999999999886,152.1625
231013,149.55,156.40,147.80,153.40,114453,3316,17490291.00,8.599999999999994,3.8499999999999943,151.78750000000002
221013,157.45,159.40,146.10,149.85,127844,4050,19350803.00,13.300000000000011,-7.599999999999994,153.20000000000002
211013,133.00,156.65,130.85,155.85,279054,8418,41370336.00,25.80000000000001,22.849999999999994,144.0875
181013,120.00,133.00,120.00,130.55,94675,3019,12142769.00,13.0,10.550000000000011,125.8875
171013,130.90,135.40,106.05,118.40,68235,2596,8170217.00,29.35000000000001,-12.5,122.6875
151013,131.75,133.00,128.60,129.70,14935,485,1960198.00,4.400000000000006,-2.0500000000000114,130.7625
141013,131.90,132.65,127.15,130.55,20571,644,2677793.00,5.5,-1.3499999999999943,130.5625
111013,120.00,130.70,118.50,126.30,64579,2089,8134303.00,12.199999999999989,6.299999999999997,123.875
101013,117.50,119.70,116.70,118.50,7017,216,831088.00,3.0,1.0,118.1
091013,107.35,117.90,107.35,116.45,10308,357,1195773.00,10.550000000000011,9.100000000000009,112.2625
081013,114.15,115.45,112.95,113.55,12861,398,1471739.00,2.5,-0.6000000000000085,114.025
071013,104.60,112.80,104.50,110.85,15794,751,1750576.00,8.299999999999997,6.25,108.1875
041013,106.30,108.70,102.10,103.75,12658,376,1328543.00,6.6000000000000085,-2.549999999999997,105.2125
031013,108.05,111.00,105.00,105.45,3754,124,405969.00,6.0,-2.5999999999999943,107.375
011013,105.00,108.40,98.70,106.55,7348,264,770756.00,9.700000000000003,1.5499999999999972,104.66250000000001
300913,105.90,108.35,100.70,102.85,7742,303,799737.00,7.6499999999999915,-3.0500000000000114,104.44999999999999
220213,79.50,81.00,78.00,78.95,8687,309,686977.00,3.0,-0.5499999999999972,79.3625
210213,78.50,81.50,77.00,79.25,47660,932,3811866.00,4.5,0.75,79.0625
200213,79.65,80.50,78.25,78.85,16415,449,1302389.00,2.25,-0.8000000000000114,79.3125
190213,78.20,80.00,76.70,78.95,14938,537,1175590.00,3.299999999999997,0.75,78.46249999999999
180213,79.55,80.90,77.20,78.10,17645,361,1389332.00,3.700000000000003,-1.4500000000000028,78.9375
150213,78.10,80.05,78.10,79.10,12952,401,1024750.00,1.9500000000000028,1.0,78.83749999999999
140213,80.40,84.50,79.75,80.30,35650,900,2904569.00,4.75,-0.10000000000000853,81.2375
130213,81.00,82.00,80.05,80.50,9294,219,754238.00,1.9500000000000028,-0.5,80.8875
010213,82.65,83.70,82.15,83.10,22736,392,1887025.00,1.5499999999999972,0.44999999999998863,82.9
280113,85.00,87.40,84.55,86.15,36728,670,3161174.00,2.8500000000000085,1.1500000000000057,85.775
