Trevor Jesty ,10,10,4,127,52*,21.16,182,69.78,0,1,10,2,5,0
Ian Gould ,18,14,2,155,42,12.91,243,63.78,0,0,5,0,15,3
Graeme Fowler ,26,26,2,744,81*,31.00,1321,56.32,0,4,67,1,4,2
Neil Foster ,48,25,12,150,24,11.53,244,61.47,0,0,9,0,12,0
Chris Smith ,4,4,0,109,70,27.25,240,45.41,0,1,19,1,0,0
Nick Cook ,3,-,-,-,-,-,-,-,-,-,-,-,2,0
Andy Lloyd ,3,3,0,101,49,33.66,228,44.29,0,0,3,0,0,0
Richard Ellison ,14,12,4,86,24,10.75,110,78.18,0,0,3,1,2,0
Tim Robinson ,26,26,0,597,83,22.96,1026,58.18,0,3,63,0,6,0
Jonathan Agnew ,3,1,1,2,2*,-,3,66.66,0,0,0,0,1,0
Chris Cowdrey ,3,3,1,51,46*,25.50,46,110.86,0,0,5,1,0,0
Martyn Moxon ,8,8,0,174,70,21.75,325,53.53,0,1,12,0,5,0
Bruce French ,13,8,3,34,9*,6.80,71,47.88,0,0,1,0,13,3
Norman Gifford ,2,1,0,0,0,0.00,8,0.00,0,0,0,0,1,0
Colin Wells ,2,2,0,22,17,11.00,44,50.00,0,0,2,0,0,0
Rob Bailey ,4,4,2,137,43*,68.50,196,69.89,0,0,6,2,1,0
Pat Pocock ,1,1,0,4,4,4.00,9,44.44,0,0,0,0,0,0
Les Taylor ,2,1,1,1,1*,-,6,16.66,0,0,0,0,0,0
Greg Thomas ,3,3,2,1,1*,1.00,7,14.28,0,0,0,0,0,0
Wilf Slack ,2,2,0,43,34,21.50,85,50.58,0,0,5,1,0,0
David Smith ,2,2,1,15,10*,15.00,40,37.50,0,0,1,0,0,0
Mark Benson ,1,1,0,24,24,24.00,58,41.37,0,0,3,0,0,0
Chris Broad ,34,34,0,1361,106,40.02,2447,55.61,1,11,81,3,10,0
Phil DeFreitas ,103,66,23,690,67,16.04,823,83.83,0,1,46,10,26,0
Gladstone Small ,53,24,9,98,18*,6.53,188,52.12,0,0,7,,7,0
David Capel ,23,19,2,327,50*,19.23,479,68.26,0,1,,4,6,0
Neil Fairbrother ,75,71,18,2092,113,39.47,2903,72.06,1,16,140,20,33,0
James Whitaker ,2,2,1,48,44*,48.00,65,73.84,0,0,2,1,1,0
Jack Russell ,40,31,7,423,50,17.62,638,66.30,0,1,,,41,6
Paul Jarvis ,16,8,2,31,16*,5.16,39,79.48,0,0,1,1,1,0
Neal Radford ,6,3,2,0,0*,0.00,7,0.00,0,0,0,0,2,0
Monte Lynch ,3,3,0,8,6,2.66,32,25.00,0,0,1,0,1,0
Kim Barnett ,1,1,0,84,84,84.00,146,57.53,0,1,0,0,0,0
Robin Smith ,71,70,8,2419,167*,39.01,3473,69.65,4,15,239,22,26,0
Steve Rhodes ,9,8,2,107,56,17.83,150,71.33,0,1,7,1,9,2
Angus Fraser ,42,20,9,141,38*,12.81,208,67.78,0,0,15,2,5,0
Alec Stewart ,170,162,14,4677,116,31.60,6841,68.36,4,28,,26,159,15
Nasser Hussain ,88,87,10,2332,115,30.28,3481,66.99,1,16,208,15,40,0
Chris Lewis ,53,40,14,374,33,14.38,459,81.48,0,0,25,6,20,0
Devon Malcolm ,10,5,2,9,4,3.00,11,81.81,0,0,1,0,1,0
Mike Atherton ,54,54,3,1791,127,35.11,3054,58.64,2,12,155,1,15,0
John Morris ,8,8,1,167,63*,23.85,225,74.22,0,1,18,0,2,0
Martin Bicknell ,7,6,2,96,31*,24.00,104,92.30,0,0,7,1,2,0
Phil Tufnell ,20,10,9,15,5*,15.00,31,48.38,0,0,0,0,4,0
Graeme Hick ,120,118,15,3846,126*,37.33,5191,74.08,5,27,278,41,64,0
Richard Illingworth ,25,11,5,68,14,11.33,119,57.14,0,0,4,0,8,0
Mark Ramprakash ,18,18,4,376,51,26.85,544,69.11,0,1,22,5,8,0
David Lawrence ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Dermot Reeve ,29,21,9,291,35,24.25,389,74.80,0,0,19,0,12,0
Richard Blakey ,3,2,0,25,25,12.50,50,50.00,0,0,3,0,2,1
Dominic Cork ,32,21,3,180,31*,10.00,271,66.42,0,0,13,1,6,0
Ian Salisbury ,4,2,1,7,5,7.00,12,58.33,0,0,0,0,1,0
Paul Taylor ,1,1,0,1,1,1.00,8,12.50,0,0,0,0,0,0
Andy Caddick ,54,38,18,249,36,12.45,395,63.03,0,0,19,3,9,0
Graham Thorpe ,82,77,13,2380,89,37.18,3344,71.17,0,21,172,5,42,0
Alan Igglesden ,4,3,1,20,18,10.00,31,64.51,0,0,2,0,1,0
Matthew Maynard ,14,12,1,156,41,14.18,225,69.33,0,0,10,1,4,0
Steve Watkin ,4,2,0,4,4,2.00,23,17.39,0,0,0,0,0,0
Darren Gough ,159,87,38,609,46*,12.42,947,64.30,0,0,43,5,25,0
Shaun Udal ,11,7,4,35,11*,11.66,46,76.08,0,0,1,0,1,0
Joey Benjamin ,2,1,0,0,0,0.00,6,0.00,0,0,0,0,0,0
Craig White ,51,41,5,568,57*,15.77,928,61.20,0,1,28,4,12,0
John Crawley ,13,12,1,235,73,21.36,408,57.59,0,2,14,1,1,1
Peter Martin ,20,13,7,38,6,6.33,53,71.69,0,0,3,0,1,0
