Somachandra De Silva ,41,29,10,371,37*,19.52,691,53.69,0,0,,5,0,<b>First-class</b>
Ranjit Fernando ,3,3,0,47,22,15.66,66,71.21,0,0,7,0,0,0
David Heyn ,2,2,0,3,2,1.50,20,15.00,0,0,0,0,1,0
Lalith Kaluperuma ,4,3,3,33,14*,-,60,55.00,0,0,2,0,0,0
Duleep Mendis ,79,74,9,1527,80,23.49,2034,75.07,0,7,,14,0,<b>First-class</b>
Tony Opatha ,5,3,0,29,18,9.66,55,52.72,0,0,3,0,3,0
Mevan Pieris ,3,3,1,19,16,9.50,59,32.20,0,0,2,0,0,0
Anura Ranasinghe ,9,8,1,153,51,21.85,147,104.08,0,1,,0,0,<b>First-class</b>
Anura Tennekoon ,4,4,0,137,59,34.25,207,66.18,0,1,16,0,3,0
Michael Tissera ,3,3,0,78,52,26.00,147,53.06,0,1,10,0,0,0
Bandula Warnapura ,12,12,0,180,77,15.00,415,43.37,0,1,0,5,0,<b>First-class</b>
Sunil Wettimuny ,3,3,1,136,67,68.00,242,56.19,0,2,16,0,0,0
Ajit de Silva ,6,4,2,9,6*,4.50,33,27.27,0,0,,2,0,<b>First-class</b>
Stanley De Silva ,2,1,0,10,10,10.00,35,28.57,0,0,0,0,1,0
Roy Dias ,58,55,5,1573,121,31.46,2315,67.94,2,11,,16,0,<b>First-class</b>
Sunil Jayasinghe ,2,1,0,1,1,1.00,3,33.33,0,0,0,0,1,0
Sudath Pasqual ,2,2,1,24,23*,24.00,28,85.71,0,0,1,0,0,0
Ranjan Gunatilleke ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Ranjan Madugalle ,63,56,5,950,73,18.62,1574,60.35,0,3,,18,0,<b>First-class</b>
Ashantha de Mel ,57,41,9,466,36,14.56,595,78.31,0,0,,13,0,<b>First-class</b>
Rohan Jayasekera ,2,1,0,17,17,17.00,42,40.47,0,0,1,0,0,0
Sidath Wettimuny ,35,33,1,786,86*,24.56,1636,48.04,0,4,,3,0,<b>First-class</b>
Mahes Goonatilleke ,6,4,3,31,14*,31.00,58,53.44,0,0,,0,4,<b>First-class</b>
