Syed Abid Ali ,5,3,0,93,70,31.00,132,70.45,0,1,6,1,0,0
Bishan Bedi ,10,7,2,31,13,6.20,70,44.28,0,0,0,4,0,<b>First-class</b>
Farokh Engineer ,5,4,1,114,54*,38.00,195,58.46,0,1,13,0,3,1
Sunil Gavaskar ,108,102,14,3092,103*,35.13,4966,62.26,1,27,,22,0,<b>First-class</b>
Madan Lal ,67,35,14,401,53*,19.09,645,62.17,0,1,,18,0,<b>First-class</b>
Sudhir Naik ,2,2,0,38,20,19.00,68,55.88,0,0,3,0,0,0
Brijesh Patel ,10,9,1,243,82,30.37,399,60.90,0,1,,1,0,<b>First-class</b>
Eknath Solkar ,7,6,0,27,13,4.50,79,34.17,0,0,2,0,2,0
Srinivas Venkataraghavan ,15,9,4,54,26*,10.80,126,42.85,0,0,3,0,4,0
Gundappa Viswanath ,25,23,1,439,75,19.95,830,52.89,0,2,,3,0,<b>First-class</b>
Ajit Wadekar ,2,2,0,73,67,36.50,90,81.11,0,1,11,0,1,0
Gopal Bose ,1,1,0,13,13,13.00,18,72.22,0,0,1,0,0,0
Ashok Mankad ,1,1,0,44,44,44.00,61,72.13,0,0,3,0,0,0
Mohinder Amarnath ,85,75,12,1924,102*,30.53,3334,57.70,2,13,,23,0,<b>First-class</b>
Anshuman Gaekwad ,15,14,1,269,78*,20.69,509,52.84,0,1,,6,0,<b>First-class</b>
Karsan Ghavri ,19,16,6,114,20,11.40,194,58.76,0,0,,2,0,<b>First-class</b>
Syed Kirmani ,49,31,13,373,48*,20.72,616,60.55,0,0,,27,9,<b>First-class</b>
Parthasarthi Sharma ,2,2,0,20,14,10.00,39,51.28,0,0,,0,0,<b>First-class</b>
Dilip Vengsarkar ,129,120,19,3508,105,34.73,5179,67.73,1,23,,37,0,<b>First-class</b>
Bhagwath Chandrasekhar ,1,1,1,11,11*,-,13,84.61,0,0,,0,0,<b>First-class</b>
Pochiah Krishnamurthy ,1,1,0,6,6,6.00,13,46.15,0,0,,1,1,<b>First-class</b>
Sudhakar Rao ,1,1,0,4,4,4.00,14,28.57,0,0,0,1,0,<b>First-class</b>
Surinder Amarnath ,3,3,0,100,62,33.33,119,84.03,0,1,,1,0,<b>First-class</b>
Chetan Chauhan ,7,7,0,153,46,21.85,301,50.83,0,0,,3,0,<b>First-class</b>
Kapil Dev ,225,198,39,3783,175*,23.79,3979,95.07,1,14,,71,0,<b>First-class</b>
Yashpal Sharma ,42,40,9,883,89,28.48,1401,63.02,0,4,,10,0,<b>First-class</b>
Bharath Reddy ,3,2,2,11,8*,-,20,55.00,0,0,1,0,2,0
Surinder Khanna ,10,10,2,176,56,22.00,265,66.41,0,2,16,2,4,4
Kirti Azad ,25,21,2,269,39*,14.15,400,67.25,0,0,,7,0,<b>First-class</b>
Roger Binny ,72,49,10,629,57,16.12,1046,60.13,0,1,,12,0,<b>First-class</b>
Dilip Doshi ,15,5,2,9,5*,3.00,20,45.00,0,0,0,0,3,0
Sandeep Patil ,45,42,1,1005,84,24.51,1223,82.17,0,9,,11,0,<b>First-class</b>
Tirumalai Srinivasan ,2,2,0,10,6,5.00,35,28.57,0,0,0,0,0,0
Yograj Singh ,6,4,2,1,1,0.50,12,8.33,0,0,0,0,2,0
Randhir Singh ,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Ravi Shastri ,150,128,21,3108,109,29.04,5089,61.07,4,18,,40,0,<b>First-class</b>
Kris Srikkanth ,146,145,4,4091,123,29.01,5702,71.74,4,27,,42,0,<b>First-class</b>
Suru Nayak ,4,1,0,3,3,3.00,19,15.78,0,0,0,0,1,0
Arun Lal ,13,13,0,122,51,9.38,232,52.58,0,1,10,1,4,0
