Stu Roberts ,2,1,1,1,1*,-,2,50.00,0,0,0,0,0,0
Shane Thomson ,56,52,10,964,83,22.95,1427,67.55,0,5,63,8,18,0
Jonathan Millmow ,5,1,1,0,0*,-,3,0.00,0,0,0,0,1,0
Mark Priest ,18,14,4,103,24,10.30,225,45.77,0,0,1,0,2,0
Chris Pringle ,64,41,19,193,34*,8.77,256,75.39,0,0,8,5,7,0
David White ,3,3,0,37,15,12.33,97,38.14,0,0,1,0,1,0
Grant Bradburn ,11,10,3,60,30,8.57,130,46.15,0,0,1,0,2,0
Chris Harris ,250,213,62,4379,130,29.00,6583,66.51,1,16,275,43,96,0
Richard Petrie ,12,8,3,65,21,13.00,109,59.63,0,0,2,0,2,0
Rod Latham ,33,33,4,583,60,20.10,1008,57.83,0,1,50,1,11,0
Bryan Young ,74,73,5,1668,74,24.52,2733,61.03,0,9,164,2,28,0
Chris Cairns ,215,193,25,4950,115,29.46,5874,84.26,4,26,345,153,66,0
Murphy Su'a ,12,7,2,24,12*,4.80,56,42.85,0,0,1,0,1,0
Simon Doull ,42,27,13,172,22,12.28,188,91.48,0,0,12,5,10,0
Dion Nash ,81,53,13,624,42,15.60,940,66.38,0,0,28,5,25,0
Adam Parore ,179,161,32,3314,108,25.68,4867,68.09,1,14,169,36,116,25
Blair Hartland ,16,16,1,311,68*,20.73,623,49.91,0,2,28,0,5,0
Justin Vaughan ,18,16,7,162,33,18.00,261,62.06,0,0,7,0,4,0
Mark Haslam ,1,1,0,9,9,9.00,18,50.00,0,0,0,0,0,0
Michael Owens ,1,1,0,0,0,0.00,3,0.00,0,0,0,0,0,0
Jeff Wilson ,6,6,1,103,44*,20.60,112,91.96,0,0,7,1,4,0
Richard de Groen ,12,8,3,12,7*,2.40,36,33.33,0,0,0,0,2,0
Matthew Hart ,13,8,0,61,16,7.62,101,60.39,0,0,3,1,7,0
Stephen Fleming ,280,269,21,8037,134*,32.40,11242,71.49,8,49,823,63,133,0
Mark Douglas ,6,6,0,55,30,9.16,123,44.71,0,0,2,1,2,0
Heath Davis ,11,6,4,13,7*,6.50,33,39.39,0,0,0,0,2,0
Darrin Murray ,1,1,0,3,3,3.00,17,17.64,0,0,0,0,0,0
Lee Germon ,37,31,5,519,89,19.96,787,65.94,0,3,28,1,21,9
Nathan Astle ,223,217,14,7090,145*,34.92,9760,72.64,16,41,720,86,83,0
Roydon Hayes ,1,1,0,13,13,13.00,25,52.00,0,0,1,0,0,0
Roger Twose ,87,81,11,2717,103,38.81,3603,75.40,1,20,240,33,37,0
Craig Spearman ,51,50,0,936,86,18.72,1202,77.87,0,5,123,9,15,0
Robert Kennedy ,7,4,3,17,8*,17.00,15,113.33,0,0,2,0,1,0
Geoff Allott ,31,11,6,17,7*,3.40,56,30.35,0,0,0,0,5,0
Matt Horne ,50,48,0,980,74,20.41,1515,64.68,0,5,99,5,12,0
Daniel Vettori ,275,173,51,2110,83,17.29,2585,81.62,0,4,156,14,78,0
Andrew Penn ,5,3,1,23,15,11.50,33,69.69,0,0,0,0,1,0
Craig McMillan ,197,183,16,4707,117,28.18,6198,75.94,3,28,373,84,44,0
Shayne O'Connor ,38,13,6,24,8,3.42,91,26.37,0,0,1,1,11,0
Llorne Howell ,12,12,0,287,68,23.91,388,73.96,0,4,31,4,2,0
Paul Wiseman ,15,7,5,45,16,22.50,83,54.21,0,0,3,1,2,0
Mark Bailey ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Matthew Bell ,7,7,0,133,66,19.00,268,49.62,0,1,10,0,1,0
Alex Tait ,5,5,2,35,13*,11.66,32,109.37,0,0,2,1,0,0
Chris Drum ,5,2,2,9,7*,-,22,40.90,0,0,1,0,1,0
Carl Bulfin ,4,2,1,9,7*,9.00,8,112.50,0,0,0,1,1,0
Scott Styris ,188,161,23,4483,141,32.48,5645,79.41,4,28,353,68,73,0
Warren Wisneski ,3,2,1,10,6,10.00,17,58.82,0,0,1,0,1,0
Mathew Sinclair ,54,50,4,1304,118*,28.34,2086,62.51,2,8,112,5,17,0
Chris Nevin ,37,36,0,732,74,20.33,1000,73.20,0,4,82,3,16,3
Glen Sulzberger ,3,2,1,9,6*,9.00,15,60.00,0,0,0,0,0,0
Daryl Tuffey ,94,52,21,295,36,9.51,372,79.30,0,0,23,7,20,0
Brooke Walker ,11,7,4,47,16*,15.66,79,59.49,0,0,3,0,5,0
James Franklin ,110,80,27,1270,98*,23.96,1651,76.92,0,4,97,17,26,0
Chris Martin ,20,7,2,8,3,1.60,27,29.62,0,0,0,0,7,0
Jacob Oram ,160,116,15,2434,101*,24.09,2810,86.61,1,13,182,81,51,0
Lou Vincent ,102,99,10,2413,172,27.11,3453,69.88,3,11,222,37,41,0
Andre Adams ,42,34,10,419,45,17.45,417,100.47,0,0,31,18,8,0
Kyle Mills ,165,98,34,1016,54,15.87,1259,80.69,0,2,74,37,40,0
Shane Bond ,82,40,22,292,31*,16.22,384,76.04,0,0,19,9,15,0
Mark Richardson ,4,4,0,42,26,10.50,97,43.29,0,0,4,0,1,0
Brendon McCullum ,229,199,28,5172,166,30.24,5696,90.80,4,26,462,156,246,15
Ian Butler ,26,13,5,84,25,10.50,154,54.54,0,0,6,2,8,0
Robbie Hart ,2,1,0,0,0,0.00,9,0.00,0,0,0,0,1,0
Paul Hitchcock ,14,7,3,41,11*,10.25,61,67.21,0,0,3,1,4,0
Craig Cumming ,13,13,1,161,45*,13.41,301,53.48,0,0,20,0,6,0
Richard Jones ,5,5,0,168,63,33.60,329,51.06,0,1,14,2,0,0
Hamish Marshall ,66,62,9,1454,101*,27.43,1990,73.06,1,12,98,8,18,0
Michael Mason ,26,7,4,24,13*,8.00,45,53.33,0,0,3,0,4,0
Matthew Walker ,3,1,0,10,10,10.00,6,166.66,0,0,2,0,2,0
Kerry Walmsley ,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Tama Canning ,4,4,1,52,23*,17.33,73,71.23,0,0,1,2,1,0
Michael Papps ,6,6,2,207,92*,51.75,342,60.52,0,2,24,0,1,0
Gareth Hopkins ,25,17,1,236,45,14.75,311,75.88,0,0,19,2,27,1
Peter Fulton ,49,46,5,1334,112,32.53,1833,72.77,1,8,111,20,18,0
James Marshall ,10,10,0,250,161,25.00,313,79.87,1,1,19,4,0,0
Lance Hamilton ,2,2,2,3,2*,-,6,50.00,0,0,0,0,0,0
Jeetan Patel ,39,13,7,88,34,14.66,150,58.66,0,0,5,2,12,0
Jamie How ,41,37,1,1046,139,29.05,1572,66.53,1,7,117,7,19,0
Ross Taylor ,137,125,17,4328,131*,40.07,5253,82.39,10,26,358,101,91,0
Mark Gillespie ,32,14,8,93,28,15.50,118,78.81,0,0,8,1,6,0
Jesse Ryder ,48,42,1,1362,107,33.21,1429,95.31,3,6,152,38,15,0
Iain O'Brien ,10,2,2,3,3*,-,11,27.27,0,0,0,0,1,0
Daniel Flynn ,20,17,2,228,35,15.20,360,63.33,0,0,23,2,4,0
Tim Southee ,78,45,16,313,32,10.79,345,90.72,0,0,20,13,19,0
Grant Elliott ,51,40,6,1013,115,29.79,1448,69.95,1,6,74,6,8,0
