Asif Iqbal ,10,8,2,330,62,55.00,466,70.81,0,5,,7,0,<b>First-class</b>
Asif Masood ,7,3,1,10,6,5.00,17,58.82,0,0,0,1,0,<b>First-class</b>
Intikhab Alam ,4,2,0,17,10,8.50,45,37.77,0,0,,0,0,<b>First-class</b>
Majid Khan ,23,22,1,786,109,37.42,1052,74.71,1,7,,3,0,<b>First-class</b>
Mushtaq Mohammad ,10,9,3,209,55,34.83,353,59.20,0,1,,3,0,<b>First-class</b>
Nasim-ul-Ghani ,1,1,0,1,1,1.00,8,12.50,0,0,0,0,0,0
Sadiq Mohammad ,19,19,1,383,74,21.27,755,50.72,0,2,,5,0,<b>First-class</b>
Saleem Altaf ,6,2,1,25,21,25.00,53,47.16,0,0,0,1,1,0
Sarfraz Nawaz ,45,31,8,221,34*,9.60,345,64.05,0,0,,8,0,<b>First-class</b>
Wasim Bari ,51,26,13,221,34,17.00,431,51.27,0,0,,52,10,<b>First-class</b>
Wasim Raja ,54,45,10,782,60,22.34,1168,66.95,0,2,,24,0,<b>First-class</b>
Imran Khan ,175,151,40,3709,102*,33.41,5105,72.65,1,19,,36,0,<b>First-class</b>
Zaheer Abbas ,62,60,6,2572,123,47.62,3033,84.80,7,13,,16,0,<b>First-class</b>
Naseer Malik ,3,1,1,0,0*,-,13,0.00,0,0,0,0,0,0
Javed Miandad ,233,218,41,7381,119*,41.70,11014,67.01,8,50,,71,2,<b>First-class</b>
Pervez Mir ,3,3,1,26,18,13.00,44,59.09,0,0,2,0,2,0
Mohsin Khan ,75,75,5,1877,117*,26.81,3373,55.64,2,8,,13,0,<b>First-class</b>
Aamer Hameed ,2,-,-,-,-,-,-,-,-,-,-,-,1,0
Hasan Jamil ,6,5,0,111,28,22.20,120,92.50,0,0,1,0,<b>First-class</b>,120
Liaqat Ali ,3,1,0,7,7,7.00,31,22.58,0,0,0,0,0,0
Mudassar Nazar ,122,115,10,2653,95,25.26,5130,51.71,0,16,,21,0,<b>First-class</b>
Shafiq Ahmed ,3,3,0,41,29,13.66,91,45.05,0,0,2,0,1,0
Haroon Rasheed ,12,10,2,166,63*,20.75,316,52.53,0,1,,3,0,<b>First-class</b>
Iqbal Qasim ,15,7,1,39,13,6.50,90,43.33,0,0,,3,0,<b>First-class</b>
Sikander Bakht ,27,11,7,31,16*,7.75,97,31.95,0,0,3,0,4,0
Arshad Pervez ,2,2,0,11,8,5.50,47,23.40,0,0,0,0,0,0
Naeem Ahmed ,1,1,1,0,0*,-,8,0.00,0,0,0,0,1,0
Azmat Rana ,2,2,1,42,22*,42.00,73,57.53,0,0,,,0,0
Mansoor Akhtar ,41,35,1,593,47,17.44,1148,51.65,0,0,,,14,0
Mohammad Nazir ,4,3,3,4,2*,-,16,25.00,0,0,0,0,0,0
Taslim Arif ,2,2,0,28,24,14.00,58,48.27,0,0,,,1,1
Ashraf Ali ,16,9,5,69,19*,17.25,135,51.11,0,0,3,0,17,3
Ijaz Faqih ,27,19,3,197,42*,12.31,351,56.12,0,0,15,0,2,0
Rashid Khan ,29,15,7,110,17,13.75,173,63.58,0,0,,0,3,0
Saleem Pervez ,1,1,0,18,18,18.00,39,46.15,0,0,0,0,<b>First-class</b>,135
Tahir Naqqash ,40,23,9,210,61,15.00,242,86.77,0,1,11,3,11,0
Rizwan-uz-Zaman ,3,3,0,20,14,6.66,129,15.50,0,0,1,0,2,0
Saleem Malik ,283,256,38,7170,102,32.88,9383,76.41,5,47,,81,0,<b>First-class</b>
Jalal-ud-Din ,8,2,0,5,5,2.50,5,100.00,0,0,1,0,1,0
Saleem Yousuf ,86,62,19,768,62,17.86,1024,75.00,0,4,,81,22,<b>First-class</b>
Tauseef Ahmed ,70,25,14,116,27*,10.54,216,53.70,0,0,3,0,10,0
Shahid Mahboob ,10,6,1,119,77,23.80,194,61.34,0,1,9,0,1,0
Abdul Qadir ,104,68,26,641,41*,15.26,849,75.50,0,0,36,17,21,0
Azeem Hafeez ,15,10,7,45,15,15.00,104,43.26,0,0,5,0,3,0
Qasim Umar ,31,31,3,642,69,22.92,1125,57.06,0,4,52,3,4,0
Saadat Ali ,8,7,1,184,78*,30.66,341,53.95,0,1,13,0,1,0
Anil Dalpat ,15,10,3,87,37,12.42,136,63.97,0,0,7,0,13,2
Naved Anjum ,13,12,3,113,30,12.55,154,73.37,0,0,7,1,0,0
Manzoor Elahi ,54,46,13,741,50*,22.45,827,89.60,0,1,,,21,0
Sajid Ali ,13,12,0,130,28,10.83,293,44.36,0,0,10,0,1,0
Zakir Khan ,17,5,4,27,11*,27.00,63,42.85,0,0,,0,0,0
Shoaib Mohammad ,63,58,6,1269,126*,24.40,2492,50.92,1,8,,13,0,<b>First-class</b>
Wasim Akram ,356,280,55,3717,86,16.52,4208,88.33,0,6,,,88,0
Mohsin Kamal ,19,6,3,27,11*,9.00,40,67.50,0,0,2,0,4,0
Masood Iqbal ,1,1,0,2,2,2.00,2,100.00,0,0,0,0,0,0
