Iain Butchart ,20,16,2,252,54,18.00,395,63.79,0,1,17,1,4,0
Kevin Curran ,11,11,0,287,73,26.09,430,66.74,0,2,21,4,1,0
Duncan Fletcher ,6,6,2,191,71*,47.75,289,66.08,0,2,14,0,0,0
Jack Heron ,6,6,0,50,18,8.33,163,30.67,0,0,3,0,1,0
Vince Hogg ,2,1,1,7,7*,-,19,36.84,0,0,0,0,0,0
Dave Houghton ,63,60,2,1530,142,26.37,2155,70.99,1,12,116,21,29,2
Ali Shah ,28,28,2,437,60*,16.80,860,50.81,0,1,27,2,6,0
Grant Paterson ,10,10,0,123,27,12.30,327,37.61,0,0,11,0,2,0
Andy Pycroft ,20,19,2,295,61,17.35,560,52.67,0,2,13,1,6,0
Peter Rawson ,10,8,3,80,24*,16.00,123,65.04,0,0,5,1,4,0
John Traicos ,27,17,9,88,19,11.00,175,50.28,0,0,3,0,3,0
Robin Brown ,7,7,0,110,38,15.71,334,32.93,0,0,8,0,5,0
Gerald Peckover ,3,3,1,33,16*,16.50,54,61.11,0,0,3,0,0,0
Eddo Brandes ,59,41,10,404,55,13.03,448,90.17,0,2,27,14,11,0
Andy Waller ,39,38,3,818,83*,23.37,1172,69.79,0,4,85,11,10,0
Malcolm Jarvis ,12,5,3,37,17,18.50,67,55.22,0,0,2,1,1,0
Kevin Arnott ,13,12,2,238,60,23.80,491,48.47,0,3,12,1,3,0
Babu Meman ,1,1,0,19,19,19.00,22,86.36,0,0,2,0,0,0
Kevin Duers ,6,2,1,7,5,7.00,20,35.00,0,0,0,0,2,0
Andy Flower ,213,208,16,6786,145,35.34,9097,74.59,4,55,,,141,32
Wayne James ,11,8,1,101,29,14.42,255,39.60,0,0,4,0,6,0
Alistair Campbell ,188,184,14,5185,131*,30.50,7834,66.18,7,30,,,76,0
Mark Burmester ,8,7,1,109,39,18.16,207,52.65,0,0,7,0,2,0
David Brain ,23,18,4,117,27,8.35,171,68.42,0,0,10,2,5,0
Gary Crocker ,6,5,1,98,50,24.50,105,93.33,0,1,7,2,1,0
Craig Evans ,53,47,5,764,96*,18.19,1006,75.94,0,2,65,16,12,0
Grant Flower ,221,214,18,6571,142*,33.52,9723,67.58,6,40,,,86,0
Mark Dekker ,23,22,2,379,79,18.95,798,47.49,0,2,16,3,5,0
Stephen Peall ,21,15,1,91,21,6.50,150,60.66,0,0,10,0,1,0
Eboo Essop-Adam ,1,1,1,14,14*,-,15,93.33,0,0,1,0,2,0
Ujesh Ranchod ,3,1,1,3,3*,-,6,50.00,0,0,0,0,1,0
Gavin Briant ,5,5,2,39,16,13.00,69,56.52,0,0,2,0,0,0
John Rennie ,44,27,12,201,27,13.40,391,51.40,0,0,16,0,12,0
Heath Streak ,189,159,55,2943,79*,28.29,4008,73.42,0,13,203,48,46,0
Guy Whittall ,147,142,22,2705,83,22.54,4011,67.43,0,11,,,36,0
Glen Bruk-Jackson ,1,1,0,12,12,12.00,33,36.36,0,0,2,0,0,0
