Greg Chappell ,74,72,14,2331,138*,40.18,3079,75.70,3,14,195,7,23,0
Ian Chappell ,16,16,2,673,86,48.07,874,77.00,0,8,74,7,5,0
Alan Connolly ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Bill Lawry ,1,1,0,27,27,27.00,49,55.10,0,0,0,0,1,0
Graham McKenzie ,1,-,-,-,-,-,-,-,-,-,-,-,1,0
Ashley Mallett ,9,3,1,14,8,7.00,36,38.88,0,0,1,0,4,0
Rod Marsh ,92,76,15,1225,66,20.08,1489,82.26,0,4,86,17,120,4
Ian Redpath ,5,5,0,46,24,9.20,67,68.65,0,0,1,0,2,0
Keith Stackpole ,6,6,0,224,61,37.33,387,57.88,0,3,28,0,1,0
Alan Thomson ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Doug Walters ,28,24,6,513,59,28.50,732,70.08,0,2,37,0,10,0
Ross Edwards ,9,8,1,255,80*,36.42,349,73.06,0,3,22,0,0,0
Dennis Lillee ,63,34,8,240,42*,9.23,320,75.00,0,0,17,1,10,0
Bob Massie ,3,1,1,16,16*,-,24,66.66,0,0,2,0,1,0
Paul Sheahan ,3,3,0,75,50,25.00,124,60.48,0,1,6,1,0,0
Graeme Watson ,2,2,1,11,11*,11.00,16,68.75,0,0,2,0,0,0
David Colley ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Jeff Hammond ,1,1,1,15,15*,-,28,53.57,0,0,1,0,0,0
Ray Bright ,11,8,4,66,19*,16.50,122,54.09,0,0,3,1,2,0
Ian Davis ,3,3,1,12,11*,6.00,35,34.28,0,0,0,0,0,0
Geoff Dymock ,15,7,4,35,14*,11.66,82,42.68,0,0,1,0,1,0
Gary Gilmour ,5,2,1,42,28*,42.00,39,107.69,0,0,7,0,2,0
Max Walker ,17,11,3,79,20,9.87,170,46.47,0,0,6,0,6,0
Ashley Woodcock ,1,1,0,53,53,53.00,67,79.10,0,1,5,1,0,0
Wally Edwards ,1,1,0,2,2,2.00,14,14.28,0,0,0,0,0,0
Alan Hurst ,8,4,4,7,3*,-,19,36.84,0,0,0,0,1,0
Terry Jenner ,1,1,0,12,12,12.00,25,48.00,0,0,1,0,0,0
Jeff Thomson ,50,30,6,181,21,7.54,280,64.64,0,0,9,2,9,0
Rick McCosker ,14,14,0,320,95,22.85,623,51.36,0,2,14,0,3,0
Alan Turner ,6,6,0,247,101,41.16,309,79.93,1,0,25,1,3,0
Gary Cosier ,9,7,2,154,84,30.80,166,92.77,0,1,15,2,4,0
David Hookes ,39,36,2,826,76,24.29,1146,72.07,0,5,73,13,11,0
Mick Malone ,10,7,3,36,15*,9.00,63,57.14,0,0,5,0,1,0
Kerry O'Keeffe ,2,2,1,16,16*,16.00,38,42.10,0,0,1,0,0,0
Len Pascoe ,29,11,7,39,15*,9.75,102,38.23,0,0,2,0,6,0
Craig Serjeant ,3,3,0,73,46,24.33,158,46.20,0,0,7,1,1,0
Kim Hughes ,97,88,6,1968,98,24.00,2919,67.42,0,17,141,12,27,0
Richie Robinson ,2,2,0,82,70,41.00,143,57.34,0,1,7,1,3,1
Ian Callen ,5,3,2,6,3*,6.00,13,46.15,0,0,0,0,2,0
Wayne Clark ,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Rick Darling ,18,18,1,363,74,21.35,679,53.46,0,1,26,0,6,0
Trevor Laughlin ,6,5,1,105,74,26.25,160,65.62,0,1,6,1,0,0
Steve Rixon ,6,6,3,40,20*,13.33,98,40.81,0,0,1,0,9,2
Bob Simpson ,2,2,0,36,23,18.00,53,67.92,0,0,3,1,4,0
Peter Toohey ,5,4,2,105,54*,52.50,133,78.94,0,1,5,0,0,0
Graeme Wood ,83,77,11,2219,114*,33.62,3725,59.57,3,11,,,17,0
Graham Yallop ,30,27,6,823,66*,39.19,1288,63.89,0,7,64,3,5,0
Bruce Yardley ,7,4,0,58,28,14.50,98,59.18,0,0,1,0,1,0
Allan Border ,273,252,39,6524,127*,30.62,9134,71.42,3,39,500,43,127,0
Phil Carlson ,4,2,0,11,11,5.50,30,36.66,0,0,2,0,0,0
John Maclean ,2,1,0,11,11,11.00,33,33.33,0,0,2,0,0,0
Andrew Hilditch ,8,8,0,226,72,28.25,476,47.47,0,1,15,0,1,0
Rodney Hogg ,71,35,20,137,22,9.13,217,63.13,0,0,8,0,8,0
Kevin Wright ,5,2,0,29,23,14.50,52,55.76,0,0,0,0,8,0
Jeff Moss ,1,1,0,7,7,7.00,16,43.75,0,0,0,0,2,0
Graeme Porter ,2,1,0,3,3,3.00,9,33.33,0,0,0,0,1,0
Bruce Laird ,23,23,3,594,117*,29.70,1105,53.75,1,2,52,0,5,0
Julien Wiener ,7,7,0,140,50,20.00,324,43.20,0,1,12,0,2,0
Dav Whatmore ,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0,0
John Dyson ,29,27,4,755,79,32.82,1553,48.61,0,4,55,2,12,0
Trevor Chappell ,20,13,0,229,110,17.61,365,62.73,1,0,18,0,8,0
Shaun Graf ,11,6,0,24,8,4.00,50,48.00,0,0,1,0,1,0
Geoff Lawson ,79,52,18,378,33*,11.11,500,75.60,0,0,,4,18,0
Martin Kent ,5,5,1,78,33,19.50,133,58.64,0,0,6,0,4,0
Graeme Beard ,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Terry Alderman ,65,18,6,32,9*,2.66,97,32.98,0,0,2,0,29,0
Dirk Wellham ,17,17,2,379,97,25.26,699,54.22,0,1,16,0,8,0
Greg Ritchie ,44,42,7,959,84,27.40,1479,64.84,0,6,55,6,9,0
Wayne Phillips ,48,41,6,852,75*,24.34,994,85.71,0,6,,,42,7
Carl Rackemann ,52,18,6,34,9*,2.83,77,44.15,0,0,0,0,6,0
Kepler Wessels ,109,105,7,3367,107,34.35,6088,55.30,1,26,263,2,49,0
John Maguire ,23,11,5,42,14*,7.00,71,59.15,0,0,1,0,2,0
Tom Hogan ,16,12,4,72,27,9.00,95,75.78,0,0,7,2,10,0
Ken MacLeay ,16,13,2,139,41,12.63,170,81.76,0,0,7,3,2,0
Steve Smith ,28,24,2,861,117,39.13,1319,65.27,2,8,,,8,0
Mike Whitney ,38,13,7,40,9*,6.66,90,44.44,0,0,2,0,11,0
Roger Woolley ,4,3,2,31,16,31.00,38,81.57,0,0,2,0,1,1
Greg Matthews ,59,50,13,619,54,16.72,911,67.94,0,1,23,3,23,0
Dean Jones ,164,161,25,6068,145,44.61,8362,72.56,7,46,,,54,0
David Boon ,181,177,16,5964,122,37.04,9157,65.13,5,37,494,16,45,0
Murray Bennett ,8,4,1,9,6*,3.00,21,42.85,0,0,0,0,1,0
Craig McDermott ,138,78,17,432,37,7.08,492,87.80,0,0,36,8,27,0
Simon O'Donnell ,87,64,15,1242,74*,25.34,1534,80.96,0,9,,,22,0
Bob Holland ,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Rod McCurdy ,11,6,2,33,13*,8.25,71,46.47,0,0,1,0,1,0
Robbie Kerr ,4,4,1,97,87*,32.33,159,61.00,0,1,5,0,1,0
Simon Davis ,39,11,7,20,6,5.00,34,58.82,0,0,0,0,5,0
Dave Gilbert ,14,8,3,39,8,7.80,102,38.23,0,0,1,0,3,0
Bruce Reid ,61,21,8,49,10,3.76,117,41.88,0,0,2,0,6,0
Steve Waugh ,325,288,58,7569,120*,32.90,9971,75.91,3,45,530,68,111,0
Geoff Marsh ,117,115,6,4357,126*,39.97,7790,55.93,9,22,302,22,31,0
Glenn Trimble ,2,2,1,4,4,4.00,5,80.00,0,0,1,0,0,0
Tim Zoehrer ,22,15,3,130,50,10.83,183,71.03,0,1,9,0,21,2
Greg Dyer ,23,13,2,174,45*,15.81,227,76.65,0,0,8,4,24,4
Glenn Bishop ,2,2,0,13,7,6.50,44,29.54,0,0,1,0,1,0
Peter Taylor ,83,47,25,437,54*,19.86,583,74.95,0,1,23,0,34,0
Mike Veletta ,20,19,4,484,68*,32.26,642,75.38,0,2,29,0,8,0
Tom Moody ,76,64,12,1211,89,23.28,1747,69.31,0,10,74,18,21,0
Tim May ,47,12,8,39,15,9.75,52,75.00,0,0,1,0,3,0
Andrew Zesers ,2,2,2,10,8*,-,14,71.42,0,0,1,0,1,0
Tony Dodemaide ,24,16,7,124,30,13.77,159,77.98,0,0,4,0,7,0
Ian Healy ,168,120,36,1764,56,21.00,2104,83.84,0,4,77,5,194,39
Jamie Siddons ,1,1,0,32,32,32.00,37,86.48,0,0,3,0,0,0
Merv Hughes ,33,17,8,100,20,11.11,134,74.62,0,0,6,4,6,0
Mark Waugh ,244,236,20,8500,173,39.35,11053,76.90,18,50,651,57,108,0
Greg Campbell ,12,3,1,6,4*,3.00,19,31.57,0,0,0,0,4,0
Mark Taylor ,113,110,1,3514,105,32.23,5909,59.46,1,28,273,7,56,0
Paul Reiffel ,92,57,21,503,58,13.97,709,70.94,0,1,26,1,25,0
Damien Martyn ,208,182,51,5346,144*,40.80,6877,77.73,5,37,441,22,69,0
Shane Warne ,194,107,29,1018,55,13.05,1413,72.04,0,1,60,13,80,0
Matthew Hayden ,161,155,15,6133,181*,43.80,7767,78.96,10,36,636,87,68,0
Brendon Julian ,25,17,0,224,35,13.17,250,89.60,0,0,17,6,8,0
Glenn McGrath ,250,68,38,115,11,3.83,236,48.72,0,0,7,0,37,0
Michael Slater ,42,42,1,987,73,24.07,1634,60.40,0,9,95,2,9,0
Damien Fleming ,88,31,18,152,29,11.69,221,68.77,0,0,9,1,14,0
Michael Bevan ,232,196,67,6912,108*,53.58,9320,74.16,6,46,450,21,69,0
Justin Langer ,8,7,2,160,36,32.00,180,88.88,0,0,13,4,2,1
Jo Angel ,3,1,0,0,0,0.00,3,0.00,0,0,0,0,0,0
Gavin Robertson ,13,7,4,45,15,15.00,55,81.81,0,0,2,0,3,0
Phil Emery ,1,1,1,11,11*,-,13,84.61,0,0,1,0,3,0
Stuart Law ,54,51,5,1237,110,26.89,1643,75.28,1,7,72,8,12,0
Greg Blewett ,32,30,3,551,57*,20.40,889,61.97,0,2,35,3,7,0
Ricky Ponting ,375,365,39,13704,164,42.03,17046,80.39,30,82,1231,162,160,0
Shane Lee ,45,35,8,477,47,17.66,500,95.40,0,0,31,7,23,0
Michael Kasprowicz ,43,13,9,74,28*,18.50,89,83.14,0,0,6,1,13,0
Brad Hogg ,123,65,26,790,71*,20.25,1004,78.68,0,2,41,5,36,0
